effective_disposals,disposal_efficiency_percentage,rebounds,clangers,free_kicks_for,free_kicks_against,one_percenters,bounces,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,marks_on_lead,pressure_acts,rating_points,score_launches,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,num_games,match_outcome_Loss,match_outcome_Win,player_position_final_C,player_position_final_F,player_position_final_HB,player_position_final_HF,player_position_final_INT,player_position_final_RK,player_position_final_W,pred,player_name,brownlow_votes,match_id,match_round,player_team,season,pred_rank,predicted_votes
15,68,2,3,0,0,0,1,83,79,75,0,0,7,484,3,0,1,1,0,0,6,8,0,3,0,14,9.3,1,0,14,14,11,80,0,0,3,0,164,0,1,0,0,0,0,0,0,1,0.2820371091365814,Bradley Hill,1,15841,16,St Kilda,2020,9,0
7,70,0,2,1,1,1,1,83,58,80,3,0,4,78,0,0,1,1,0,0,7,3,0,3,0,9,8.2,2,1,16,7,9,61,0,0,0,0,106,0,1,0,0,0,0,0,1,0,0.03804396092891693,Scott Lycett,0,15865,18,Port Adelaide,2020,19,0
8,80,0,2,1,1,2,0,77,51,79,0,1,3,110,1,0,0,0,1,1,5,4,0,2,1,9,11.4,1,1,37,4,8,52,0,0,0,0,125,1,0,0,0,0,1,0,0,0,-0.02154320292174816,Sam Day,0,15722,5,Gold Coast,2020,40,0
10,53,3,3,0,2,1,0,90,75,82,0,2,4,503,2,0,0,0,0,0,7,7,1,3,1,12,6.8,1,1,3,8,6,44,0,0,0,0,143,1,0,0,0,0,0,0,0,1,0.00487989978864789,Adam Tomlinson,0,15708,4,Melbourne,2020,26,0
13,81,1,1,0,0,1,0,75,78,94,1,0,1,6,2,1,1,1,0,0,8,4,1,8,0,18,9.7,0,0,26,7,4,31,0,0,0,0,34,1,0,0,0,0,1,0,0,0,-0.07768438756465912,Tom Atkins,0,15849,17,Geelong,2020,44,0
6,75,1,1,0,1,0,0,86,78,99,1,0,4,74,0,2,0,0,3,0,2,3,2,4,0,14,13.3,0,0,1,11,7,53,0,0,0,0,49,0,1,0,0,0,0,0,1,0,0.20915217697620392,Oscar McInerney,0,15810,12,Brisbane Lions,2020,14,0
8,57,0,6,1,0,1,0,91,61,66,2,1,2,144,1,0,0,0,1,0,3,3,2,8,0,8,9.2,0,0,17,8,12,80,0,0,0,0,173,0,1,0,1,0,0,0,0,0,0.03793330118060112,Jake Melksham,0,15746,6,Melbourne,2020,16,0
14,88,0,5,1,5,0,0,83,49,75,1,1,5,106,2,1,0,0,4,3,8,4,0,5,0,12,7.4,0,0,7,10,9,64,0,0,0,1,109,0,1,1,0,0,0,0,0,0,0.08094627410173416,Patrick Cripps,0,15762,8,Carlton,2020,18,0
4,80,0,2,3,2,2,0,53,29,55,0,2,1,120,1,0,0,0,2,0,3,3,0,1,0,5,4.1,0,2,7,11,7,53,0,0,0,0,15,1,0,0,1,0,0,0,0,0,0.00905348639935255,Keegan Brooksby,0,15763,8,Hawthorn,2020,28,0
14,64,2,3,1,0,1,0,81,122,133,2,2,2,321,0,0,0,1,0,0,17,8,2,6,0,33,11.2,0,1,28,7,5,37,0,0,3,0,121,1,0,1,0,0,0,0,0,0,1.0094997882843018,Matt Crouch,0,15822,13,Adelaide,2020,5,0
