"","date","match_id","match_round","player_name","player_team","player_opposition","betfair_votes","match_outcome","margin"
"8337",2021-08-14,16093,22,"Isaac Heeney","Sydney","North Melbourne",0,"Win",14
"8338",2021-08-14,16093,22,"Trent Dumont","North Melbourne","Sydney",0,"Loss",-14
"8339",2021-08-14,16093,22,"George Hewett","Sydney","North Melbourne",0,"Win",14
"8340",2021-08-14,16093,22,"Tom Papley","Sydney","North Melbourne",0,"Win",14
"8341",2021-08-14,16093,22,"Oliver Florent","Sydney","North Melbourne",0,"Win",14
"8342",2021-08-14,16093,22,"Jy Simpkin","North Melbourne","Sydney",0,"Loss",-14
"8343",2021-08-14,16093,22,"Robbie Fox","Sydney","North Melbourne",0,"Win",14
"8344",2021-08-14,16093,22,"Will Hayward","Sydney","North Melbourne",2,"Win",14
"8345",2021-08-14,16093,22,"Jordan Dawson","Sydney","North Melbourne",0,"Win",14
"8346",2021-08-14,16093,22,"Lewis Melican","Sydney","North Melbourne",0,"Win",14
"8347",2021-08-14,16093,22,"Cameron Zurhaar","North Melbourne","Sydney",0,"Loss",-14
"8348",2021-08-14,16093,22,"Nick Larkey","North Melbourne","Sydney",0,"Loss",-14
"8349",2021-08-14,16093,22,"Ben McKay","North Melbourne","Sydney",0,"Loss",-14
"8350",2021-08-14,16093,22,"Jaidyn Stephenson","North Melbourne","Sydney",0,"Loss",-14
"8351",2021-08-14,16093,22,"Luke Davies-Uniacke","North Melbourne","Sydney",0,"Loss",-14
"8352",2021-08-14,16093,22,"Tom McCartin","Sydney","North Melbourne",0,"Win",14
"8353",2021-08-14,16093,22,"Colin O'Riordan","Sydney","North Melbourne",0,"Win",14
"8354",2021-08-14,16093,22,"Aiden Bonar","North Melbourne","Sydney",0,"Loss",-14
"8355",2021-08-14,16093,22,"Nick Blakey","Sydney","North Melbourne",0,"Win",14
"8356",2021-08-14,16093,22,"Bailey Scott","North Melbourne","Sydney",0,"Loss",-14
"8357",2021-08-14,16093,22,"Tarryn Thomas","North Melbourne","Sydney",0,"Loss",-14
